num_spheres,width,height,runtime,kernel_time_ms,sm__warps_active.avg.pct_of_peak_sustained_active,dram__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_sector_hit_rate.pct,l1tex__t_sector_hit_rate.pct,smsp__warps_issue_stalled_long_scoreboard.avg.pct_of_peak_sustained_active,smsp__warps_issue_stalled_math_pipe_throttle.avg.pct_of_peak_sustained_active,sm__inst_executed_pipe_fp32.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.avg,smsp__sass_average_branch_targets_threads_uniform.avg
1,1920,1080,gpu_partition_buffer,0.83392,24.45,1.09,95.69,80.13,0.04,0.74,0,0,0
5,1920,1080,gpu_partition_buffer,5.951104,24.59,0.16,100.03,92.84,0.1,0.81,0,0,0
10,1920,1080,gpu_partition_buffer,16.999968,24.22,0.06,98.64,95.79,0.07,0.71,0,0,0
25,1920,1080,gpu_partition_buffer,44.360992,23.81,0.02,95.64,97.33,0.03,0.68,0,0,0
50,1920,1080,gpu_partition_buffer,92.194944,23.55,0.01,101.35,98.06,0.01,0.59,0,0,0
100,1920,1080,gpu_partition_buffer,168.41072,23.19,0.01,100.41,98.69,0.01,0.55,0,0,0
200,1920,1080,gpu_partition_buffer,354.65296,23.6,0.0,102.25,99.24,0.0,0.6,0,0,0
500,1920,1080,gpu_partition_buffer,996.217184,23.09,0.0,98.22,89.34,0.0,0.57,0,0,0
1,1920,1080,gpu_partition_buffer_layered,0.975552,91.19,92.22,32.79,53.06,37.49,0.0,0,0,0
5,1920,1080,gpu_partition_buffer_layered,0.9752,91.12,92.25,32.9,52.96,37.41,0.0,0,0,0
10,1920,1080,gpu_partition_buffer_layered,0.973632,91.16,92.49,32.66,53.09,37.51,0.0,0,0,0
25,1920,1080,gpu_partition_buffer_layered,0.972928,91.17,92.49,32.64,53.1,37.47,0.0,0,0,0
50,1920,1080,gpu_partition_buffer_layered,0.972768,91.15,92.47,32.79,52.99,37.61,0.0,0,0,0
100,1920,1080,gpu_partition_buffer_layered,0.973792,91.16,92.46,32.56,53.16,37.52,0.0,0,0,0
200,1920,1080,gpu_partition_buffer_layered,0.97408,91.1,92.48,32.55,53.11,37.54,0.0,0,0,0
500,1920,1080,gpu_partition_buffer_layered,0.976384,91.13,92.17,32.75,52.98,37.54,0.0,0,0,0
