num_spheres,width,height,run,time_ms,runtime
1,320,180,0,34.4198,cpu
1,320,180,1,29.5971,cpu
1,320,180,2,34.9282,cpu
1,640,360,0,132.57,cpu
1,640,360,1,123.143,cpu
1,640,360,2,122.755,cpu
1,1280,720,0,473.377,cpu
1,1280,720,1,469.962,cpu
1,1280,720,2,471.741,cpu
1,1920,1080,0,1050.65,cpu
1,1920,1080,1,1061.93,cpu
1,1920,1080,2,1052.07,cpu
5,320,180,0,75.3544,cpu
5,320,180,1,75.6089,cpu
5,320,180,2,75.0711,cpu
5,640,360,0,280.115,cpu
5,640,360,1,278.448,cpu
5,640,360,2,277.229,cpu
5,1280,720,0,1102.65,cpu
5,1280,720,1,1099.2,cpu
5,1280,720,2,1103.54,cpu
5,1920,1080,0,2457.51,cpu
5,1920,1080,1,2451.43,cpu
5,1920,1080,2,2469.14,cpu
10,320,180,0,213.232,cpu
10,320,180,1,216.715,cpu
10,320,180,2,212.502,cpu
10,640,360,0,825.716,cpu
10,640,360,1,837.823,cpu
10,640,360,2,826.48,cpu
10,1280,720,0,3283.25,cpu
10,1280,720,1,3295.64,cpu
10,1280,720,2,3266.0,cpu
10,1920,1080,0,7343.04,cpu
10,1920,1080,1,7342.34,cpu
10,1920,1080,2,7374.81,cpu
25,320,180,0,617.463,cpu
25,320,180,1,619.714,cpu
25,320,180,2,616.983,cpu
25,640,360,0,2443.02,cpu
25,640,360,1,2443.63,cpu
25,640,360,2,2442.9,cpu
25,1280,720,0,9733.67,cpu
25,1280,720,1,9718.18,cpu
25,1280,720,2,9741.12,cpu
25,1920,1080,0,21892.8,cpu
25,1920,1080,1,21970.8,cpu
25,1920,1080,2,21871.8,cpu
1,320,180,0,0.592155,gpu_base
1,320,180,1,0.591615,gpu_base
1,320,180,2,0.581635,gpu_base
1,320,180,3,0.588305,gpu_base
1,320,180,4,0.587715,gpu_base
1,320,180,5,0.589725,gpu_base
1,320,180,6,0.587675,gpu_base
1,320,180,7,0.587515,gpu_base
1,320,180,8,0.587745,gpu_base
1,320,180,9,0.581235,gpu_base
1,640,360,0,0.904658,gpu_base
1,640,360,1,0.909258,gpu_base
1,640,360,2,0.911478,gpu_base
1,640,360,3,0.904018,gpu_base
1,640,360,4,0.909158,gpu_base
1,640,360,5,0.906728,gpu_base
1,640,360,6,0.910868,gpu_base
1,640,360,7,0.905467,gpu_base
